备用,#genre#
TVB翡翠台,http://r.jdshipin.com/qClQf
TVB翡翠台,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=1350_4500
TVB翡翠台,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=13022928532&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=1350_4500
TVB翡翠台,http://39.106.73.140/g.php?id=1350_4500&/PLTV/hls.smil.m3u8
TVB翡翠台,http://113.117.74.21:8081/hls/25/index.m3u8
TVB翡翠台,https://t.68l.cc/gd.php?id=1350_4500
TVB翡翠台,http://r.jdshipin.com/qrfbg
TVB翡翠台,http://113.117.74.28:8081/hls/25/index.m3u8
TVB翡翠台,http://113.117.74.22:8081/hls/25/index.m3u8
TVB翡翠台,http://113.117.74.12:8081/hls/25/index.m3u8
TVB翡翠台,http://113.117.74.13:8081/hls/25/index.m3u8
广东珠江,http://220.231.188.200:8089/hls/29/index.m3u8
广东珠江,http://61.143.45.150:9901/tsfile/live/1009_1.m3u8
广东珠江,http://58.61.148.28:8088/udp/239.77.0.114:5146
广东珠江,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=gdzhujiangHD_7500
广东珠江,http://113.100.72.131:8899/udp/239.77.0.114:5146
广东珠江,http://113.117.74.18:8081/hls/139/index.m3u8
广东珠江,http://113.117.74.27:8081/hls/139/index.m3u8
广东珠江,http://202304151212.iptv.z-link.cn:8800/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,https://t.68l.cc/gd.php?id=1437
广东珠江,https://t.68l.cc/gd.php?id=gdzhujiangHD_7500
广东珠江,http://r.jdshipin.com/sE5vO
广东珠江,http://113.117.74.26:8081/hls/139/index.m3u8
广东珠江,http://113.117.74.24:8081/hls/139/index.m3u8
广东珠江,http://113.117.74.28:8081/hls/139/index.m3u8
广东珠江,http://183.234.194.165:8888/udp/239.20.0.63:3148
广东珠江,http://gxdl-lhs.8866.org:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.136.16.114:3333/tsfile/live/1001_1.m3u8
广东体育,http://218.15.229.90:9901/tsfile/live/1001_1.m3u8?key_8==D
广东体育,http://218.15.229.90:9901/tsfile/live/1001_1.m3u8
广东体育,http://api2.52tb.xyz/info?id=414&token=20230218qkyjia
广东体育,http://120.236.57.77:9901/tsfile/live/1033_1.m3u8
广东体育,http://202304151212.iptv.z-link.cn:8800/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://api3.52tb.xyz/info?id=414&token=20230226bgyszp
广东体育,http://171.38.41.82:999/hls/91/index.m3u8
广东体育,http://58.61.148.28:8088/udp/239.77.0.168:5146
广东体育,http://113.100.72.131:8899/udp/239.77.0.168:5146
广东体育,http://angtv.cn/jd/gx.php?id=gdty
广东影视,http://120.236.57.77:9901/tsfile/live/1038_1.m3u8
广东影视,http://220.231.188.200:8089/hls/32/index.m3u8
广东影视,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=1458
广东影视,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=1458_4500
广东影视,http://119.145.89.194:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,https://live.goodiptv.club/api/gudou.php?id=364&id=1458
广东影视,https://t.68l.cc/gd.php?id=1458
广东影视,http://gxdl-lhs.8866.org:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视720P,http://113.117.74.22:8081/hls/31/index.m3u8
广东影视720P,http://113.117.74.12:8081/hls/31/index.m3u8
广东影视720P,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=gdyingshi_1500
广东影视720P,http://180.142.84.201:8181/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视720P,http://lcx-olt.8866.org:8181/tsfile/live/1002_1.m3u8
广东影视720P,http://angtv.cc/jd/gdjx.php?id=gdys
广东影视720P,http://iptv.eatuo.com:9901/tsfile/live/1008_1.m3u8
广州影视,https://newhc.gztv.com/sec/yingshi.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://xtream-ie.com/a6jw3drNE9b/5hd7JMd1to/weyJ1cmwiOiJodHRwczovL2p1c3Rzb21ldGltZS5nenR2LmNvbS9zZWMveWluZ3NoaS5tM3U4IiwiaWQiOjc2N30%3D/fast
